"","X.1","X","U_ID","StartDate","Finished","ID","Picture","Color","Gender","Day","Month","Year","Certificate","QID93","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25_First.Click","Q25_Last.Click","Q25_Page.Submit","Q25_Click.Count","Q27_1","Q27_2","Q27_3","Q27_4","Q27_5","Q27_6","Q27_7","Q27_8","Q27_9","Q27_10","Q27_11","Q27_12","Q27_13","Q27_14","Q27_15","Q27_16","Q27_17","Q27_18","Q27_19","Score"
"11",11,11,"A12","10/03/2020 03:42",TRUE,"4229","chick","blue","Female",28,9,2007,"IB","","denisty is when the substace's every  mass measured by unit volume ","mass/volume","Disagree","Because density is a property of the matter, and it can never change","Same as","it has half the volume of the original block","Bigger than","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will sink","The 2 blocks will sink","Density","","Less dense",14.321,14.321,15.518,1,"5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true",8
"12",12,12,"A13","10/03/2020 02:54",TRUE,"4236","blue donkey  ","blue","Male",7,11,2007,"IB","","the mss of an object ","mass X volume","Disagree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has the same volume as the original block","Same as","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Half the density of 1 kg of wood","it has the same mass as the original block","it has the same density as the original block","it has the same volume, but half the density of the original block","The blocks will float","The 2 blocks will float","Density","","Same density",6.146,7.986,8.879,2,"5: Very true","4","5: Very true","5: Very true","4","5: Very true","5: Very true","5: Very true","5: Very true","4","5: Very true","1: Not at all true","5: Very true","1: Not at all true","5: Very true","3: Somewhat true","5: Very true","5: Very true","5: Very true",8
"13",13,13,"A14","10/03/2020 01:44",TRUE,"4227","blue cat","blue","Female",10,10,2006,"IB","","Density is a measure of mass per volume","mass X volume","Agree","Because density is a property of the matter, and it can never change","Bigger than","it has the same volume as the original block","4","Agree","Because what determines if an object will sink or float is the volume (how big it is)","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","","","","","","",0,0,1.893,0,"","","","","","","","","","","","","","","","","","","",4
"14",14,14,"A15","10/03/2020 03:49",TRUE,"4228","blue catterpillar","blue","Female",10,9,2007,"IB","","Density is a measurement that compares the amount of matter an object has to its volume. An object with much matter in a certain volume has high density An object with little matter in the same amount of volume has a low density. Density is found by dividing the mass of an object by its volume.","mass/volume","Disagree","Because density is a property of the matter, and it can never change","Same as","it has half the volume of the original block","Bigger than","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has twice the mass of the original block","it has twice the density of the original block","it has the same volume, but half the density of the original block","The blocks will float","The 2 blocks will sink","Density","","Less dense",9.079,9.079,10.366,1,"5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","3: Somewhat true","1: Not at all true","5: Very true","1: Not at all true","3: Somewhat true","4","5: Very true","5: Very true","5: Very true",7
"15",15,15,"A16","10/03/2020 03:48",TRUE,"4224","Blue butterfly","Blue","Female",11,8,2007,"IB",""," ","","","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","","it has half the volume of the original block","","Agree","","","","","","I am not sure","The 2 blocks will sink","Mass only","","More dense",12.71,12.71,14.183,1,"5: Very true","5: Very true","3: Somewhat true","5: Very true","5: Very true","4","4","3: Somewhat true","3: Somewhat true","3: Somewhat true","5: Very true","1: Not at all true","4","1: Not at all true","4","5: Very true","5: Very true","5: Very true","5: Very true",2
"16",16,16,"A17","10/03/2020 03:48",TRUE,"4226"," car","blue","Female",27,9,2007,"IB","","","volume/mass","","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has twice the volume of the original block","Bigger than","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has twice the mass of the original block","it has the same density as the original block","It has half the volume, and half the density of the original block","The blocks will sink","","","","",0,0,7.038,0,"5: Very true","5: Very true","5: Very true","5: Very true","","1: Not at all true","1: Not at all true","5: Very true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","5: Very true","4","5: Very true","5: Very true","5: Very true",5
"17",17,17,"A18","10/03/2020 03:48",TRUE,"4225","Blue Camel","Blue ","Female",7,7,2007,"IB","","","","","","Bigger than","it has twice the volume of the original block","","Agree","Because what determines if an object will sink or float is the weight of the object","","it has twice the mass of the original block","","It has half the volume, and half the density of the original block","","","Another answer?","","Less dense",23.683,23.683,30.268,1,"5: Very true","2","5: Very true","5: Very true","","5: Very true","5: Very true","1: Not at all true","1: Not at all true","1: Not at all true","4","1: Not at all true","5: Very true","2","5: Very true","4","5: Very true","5: Very true","5: Very true",1
"18",18,18,"B19","12/04/2020 09:24",TRUE,"4254","Octopus","Blue ","Female",12,3,2007,"IGCSE (British)","","Denisty equal mass over volume ","mass/volume","Not sure","","Smaller than","it has the same volume as the original block","Same as","Not sure","","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","it has the same volume, but half the density of the original block","The blocks will float","The 2 blocks will sink","Another answer?","","More dense",4.049,19.748,20.513,14,"4","5: Very true","3: Somewhat true","5: Very true","4","3: Somewhat true","3: Somewhat true","1: Not at all true","2","1: Not at all true","4","3: Somewhat true","3: Somewhat true","4","3: Somewhat true","4","5: Very true","5: Very true","4",3
"19",19,19,"A20","12/04/2020 09:27",TRUE,"4267","starfish","blue","Female",12,7,2007,"IGCSE (British)","","how much space an object or substance takes up","mass/volume","Not sure","","Bigger than","it has half the volume of the original block","Smaller than","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","I am not sure","Density","","Same density",5.389,5.389,8.032,1,"3: Somewhat true","5: Very true","2","4","5: Very true","5: Very true","5: Very true","1: Not at all true","5: Very true","5: Very true","3: Somewhat true","5: Very true","5: Very true","1: Not at all true","5: Very true","3: Somewhat true","5: Very true","5: Very true","5: Very true",8
"20",20,20,"B21","12/04/2020 09:25",TRUE,"4255","Owl","Blue","Female",21,7,2007,"IGCSE (British)","","Density is how heavy an object is for its size ","mass/volume","Agree","Because density is a property of the matter, and it can never change","Same as","it has half the volume of the original block","Same as","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Another answer?","","Same density",14.313,21.805,22.325,2,"5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","3: Somewhat true","1: Not at all true","3: Somewhat true","1: Not at all true","3: Somewhat true","5: Very true","5: Very true","5: Very true","5: Very true",12
"21",21,21,"A22","12/04/2020 09:26",TRUE,"4261","seahorse","blue","Female",11,3,2007,"IGCSE (British)","","how solid is a substance is or the compact of the substance","mass/volume","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","","Less dense",8.907,8.907,23.957,1,"5: Very true","4","5: Very true","5: Very true","4","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","4","2","1: Not at all true","3: Somewhat true","5: Very true","4","5: Very true","4","4",15
"22",22,22,"A23","12/04/2020 09:37",TRUE,"4246","helicopter","blue","Male",15,6,2007,"IGCSE (British)","","the amount of weight in a certain size","mass/volume","Agree","Because density is a property of the matter, and it can never change","Same as","it has half the volume of the original block","Same as","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will sink","Density","","Same density",12.268,12.268,14.421,1,"3: Somewhat true","3: Somewhat true","5: Very true","4","4","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","5: Very true","4","5: Very true",12
"23",23,23,"A24","12/04/2020 09:34",TRUE,"4251","lizard","blue","Female",13,12,2007,"IGCSE (British)","","","mass X volume","Not sure","","Smaller than","it has half the volume of the original block","Smaller than","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has the same mass as the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will float","The 2 blocks will sink","Mass only","","",0,0,8.537,0,"3: Somewhat true","4","5: Very true","4","5: Very true","1: Not at all true","4","2","3: Somewhat true","4","3: Somewhat true","3: Somewhat true","5: Very true","4","4","2","3: Somewhat true","4","4",3
"24",24,24,"A26","12/04/2020 09:34",TRUE,"4241","Frog","Blue","Male",1,7,2007,"IGCSE (British)","","density is mass per unit volume showing the degree of compactness of a substance","mass/volume","Disagree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Smaller than","it has half the volume of the original block","Same as","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","","More dense",12.29,87.081,88.212,8,"5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","3: Somewhat true","1: Not at all true","3: Somewhat true","3: Somewhat true","4","4","5: Very true","5: Very true","5: Very true",11
"25",25,25,"A27","12/04/2020 09:39",TRUE,"4247","Hippo","Blue","Male",21,3,2007,"IGCSE (British)","","Density is the measure of the mass per unit volume","mass/volume","Disagree","Because the density can always change even if the pressure or temperature is constant","Smaller than","it has half the volume of the original block","Smaller than","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","I am not sure","The 2 blocks will sink","Density","","Same density",13.283,13.283,15.638,1,"4","5: Very true","4","4","5: Very true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","3: Somewhat true","3: Somewhat true","1: Not at all true","1: Not at all true","5: Very true","4","5: Very true","5: Very true","5: Very true",7
"26",26,26,"A28","12/04/2020 09:35",TRUE,"4256","penguin","blue","Female",25,1,2007,"IGCSE (British)","","the degree of compactness of a substance","mass/volume","Disagree","Because density is a property of the matter, and it can never change","Same as","it has half the volume of the original block","Same as","Agree","Because what determines if an object will sink or float is the weight of the object","Half the density of 1 kg of wood","it has the same mass as the original block","it has twice the density of the original block","it has the same volume, but half the density of the original block","I am not sure","The 2 blocks will sink","Mass only","","More dense",7.153,7.153,9.199,1,"5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","5: Very true","3: Somewhat true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","5: Very true","5: Very true","5: Very true","5: Very true",4
"27",27,27,"A29","12/04/2020 09:35",TRUE,"4253","Mouse","Blue","Female",18,1,2007,"IGCSE (British)","","Density compares amount of matter of object to the volume ","mass/volume","Not sure","","Same as","it has the same volume as the original block","Bigger than","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","it has the same volume, but half the density of the original block","The blocks will float","I am not sure","Density","","Same density",16.65,16.65,17.527,1,"5: Very true","4","4","5: Very true","5: Very true","2","2","3: Somewhat true","3: Somewhat true","3: Somewhat true","5: Very true","5: Very true","4","4","4","2","5: Very true","5: Very true","4",5
"28",28,28,"A30","12/04/2020 09:41",TRUE,"4263","Shark","Blue","Female",27,3,2007,"IGCSE (British)","","It's the mass per unit  volume of matter","mass/volume","Disagree","Because the density can always change even if the pressure or temperature is constant","Smaller than","it has half the volume of the original block","Same as","Agree","Because what determines if an object will sink or float is the volume (how big it is)","Twice the density of 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, and half the density of the original block","The blocks will sink","I am not sure","Density","","More dense",7.261,7.261,8.019,1,"4","4","4","5: Very true","4","5: Very true","5: Very true","4","3: Somewhat true","1: Not at all true","5: Very true","3: Somewhat true","5: Very true","2","5: Very true","3: Somewhat true","5: Very true","5: Very true","5: Very true",7
"29",29,29,"A31","12/04/2020 09:45",TRUE,"4244","gorilla","blue","Male",27,4,2007,"IGCSE (British)","","it is the mass per unit volume of matter","mass/volume","Disagree","Because the density can always change even if the pressure or temperature is constant","Bigger than","it has half the volume of the original block","Smaller than","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Half the density of 1 kg of wood","it has twice the mass of the original block","it has the same density as the original block","it has the same volume, but half the density of the original block","The blocks will float","The 2 blocks will float","Mass only","","More dense",12.538,12.538,13.588,1,"3: Somewhat true","4","3: Somewhat true","5: Very true","4","1: Not at all true","1: Not at all true","4","3: Somewhat true","2","5: Very true","5: Very true","5: Very true","4","3: Somewhat true","3: Somewhat true","5: Very true","4","4",5
"30",30,30,"A32","12/04/2020 09:36",TRUE,"4252","Llama","blue","Female",6,6,2007,"IGCSE (British)","","density is a measurement that compares the amount of matter an object has to its volume","volume/mass","Disagree","Because density is a property of the matter, and it can never change","Same as","it has twice the volume of the original block","Same as","Agree","Because what determines if an object will sink or float is the weight of the object","Half the density of 1 kg of wood","it has twice the mass of the original block","it has half the density of the original block","It has half the volume, but same density of the original block","I am not sure","I am not sure","Density","","Same density",6.049,7.815,9.197,2,"5: Very true","4","3: Somewhat true","5: Very true","5: Very true","2","5: Very true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","3: Somewhat true","4","4","4","4","4",4
"31",31,31,"A33","12/04/2020 09:51",TRUE,"4257","Pig","Blue","Female",16,10,2007,"IGCSE (British)","","Frequency of resisting objects","mass X volume","Disagree","Because the density can always change even if the pressure or temperature is constant","Smaller than","it has the same volume as the original block","Same as","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has the same mass as the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will float","The 2 blocks will sink","Density","","More dense",29.13,35.501,36.869,4,"5: Very true","4","5: Very true","5: Very true","4","5: Very true","5: Very true","5: Very true","3: Somewhat true","3: Somewhat true","5: Very true","3: Somewhat true","3: Somewhat true","2","4","4","5: Very true","5: Very true","5: Very true",7
"32",32,32,"B35","12/04/2020 09:58",TRUE,"4264F","sheep","blue","Female",30,5,2007,"IGCSE (British)","","the concentration of a solid or a liqued","mass/volume","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","","","","","","","","","","","","","","More dense",12.919,12.919,14.232,1,"3: Somewhat true","3: Somewhat true","3: Somewhat true","5: Very true","2","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","3: Somewhat true","1: Not at all true","3: Somewhat true","1: Not at all true","5: Very true","4","5: Very true","5: Very true","5: Very true",3
"33",33,33,"A36","12/04/2020 10:03",TRUE,"4259","RHINO","BLUE","Female",7,9,2007,"IGCSE (British)","","THE MASS IN AN OBJECT ACCORDING TO ITS SIZE","volume/mass","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Smaller than","it has half the volume of the original block","Smaller than","Agree","Because what determines if an object will sink or float is the weight of the object","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will sink","The 2 blocks will float","Density","","More dense",28.384,28.384,30.183,1,"5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","4","4","3: Somewhat true","3: Somewhat true","4","4","4","5: Very true","2","5: Very true","4","5: Very true","5: Very true","5: Very true",7
"34",34,34,"A37","12/04/2020 09:56",TRUE,"4242","girraffe","blue","Male",29,10,2007,"IGCSE (British)","","density tells you how much mass in a certain volume","mass/volume","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Smaller than","it has half the volume of the original block","Same as","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","I am not sure","The 2 blocks will float","Density","","More dense",72.814,93.681,118.928,4,"2","2","5: Very true","5: Very true","4","3: Somewhat true","1: Not at all true","1: Not at all true","3: Somewhat true","3: Somewhat true","5: Very true","4","5: Very true","5: Very true","3: Somewhat true","3: Somewhat true","4","3: Somewhat true","4",10
"35",35,35,"A38","12/04/2020 10:10",TRUE,"4265","ship","blue","Female",23,11,2006,"IGCSE (British)","","","volume/mass","Not sure","","Same as","it has half the volume of the original block","","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","","it has half the mass of the original block","it has half the density of the original block","It has half the volume, but same density of the original block","The blocks will float","The 2 blocks will float","Density","","More dense",9.388,9.388,11.07,1,"3: Somewhat true","2","3: Somewhat true","2","3: Somewhat true","3: Somewhat true","4","5: Very true","3: Somewhat true","3: Somewhat true","3: Somewhat true","4","2","4","3: Somewhat true","2","4","3: Somewhat true","4",7
"36",36,36,"B39","12/04/2020 12:13",TRUE,"4282A","Bus","Dark yellow","Male",16,5,2007,"IGCSE (British)","","The degree of compactness of a substance","mass X volume","Disagree","Because density is a property of the matter, and it can never change","Smaller than","it has half the volume of the original block","Smaller than","Agree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will sink","The 2 blocks will sink","Density","","Less dense",14.012,14.012,14.745,1,"2","5: Very true","5: Very true","5: Very true","5: Very true","4","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","1: Not at all true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true",6
"37",37,37,"A40","12/04/2020 12:28",TRUE,"4276","ant","dark yellow","Male",20,10,2007,"IGCSE (British)","","the amount of mass an object has in a specific volume","mass/volume","Agree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","","Less dense",11.326,11.326,13.252,1,"5: Very true","5: Very true","5: Very true","5: Very true","4","2","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","2","1: Not at all true","1: Not at all true","1: Not at all true","5: Very true","4","5: Very true","4","5: Very true",16
"38",38,38,"A41","12/04/2020 12:28",TRUE,"4272","turtle","blue","Female",8,5,2007,"IGCSE (British)","","density = grams per cubic centimeter","mass/volume","Disagree","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","","","Less dense",11.041,11.041,15.602,1,"5: Very true","5: Very true","3: Somewhat true","5: Very true","5: Very true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","3: Somewhat true","1: Not at all true","3: Somewhat true","1: Not at all true","3: Somewhat true","1: Not at all true","5: Very true","5: Very true","3: Somewhat true",14
"39",39,39,"A42","12/04/2020 12:28",TRUE,"4284","camel","dark yellow","Female",10,11,2007,"IGCSE (British)","","","mass/volume","Disagree","Because density is a property of the matter, and it can never change","Bigger than","it has half the volume of the original block","Smaller than","Disagree","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, and half the density of the original block","The blocks will sink","The 2 blocks will sink","Density","","More dense",11.818,11.818,13.701,1,"3: Somewhat true","4","2","3: Somewhat true","4","2","1: Not at all true","3: Somewhat true","2","2","4","2","2","2","3: Somewhat true","4","4","2","2",8
